Sample Names	Total Mutations	Cosine Similarity	L1 Norm	L1_Norm_%	L2 Norm	L2_Norm_%	KL Divergence	Correlation
X01b0848c.ae36.4ade.a3da.d297b003c99f..Panc.AdenoCA..DO51493	2349	0.992	317.879	13.533%	77.318	13.111%	0.02333	0.99
X02c97e2b.914e.4afc.bf50.78f0cfbfa67b..Panc.AdenoCA..DO35184	234	0.99	57.787	24.695%	9.865	13.752%	0.09437	0.989
X02e5c36f.5bec.45e2.a048.875653b85ca1..Panc.AdenoCA..DO34616	576	0.995	114.445	19.869%	20.189	10.27%	0.07701	0.994
X03c3c692.8a86.4843.85ae.e045f0fa6f88..Panc.AdenoCA..DO32831	1506	0.996	203.541	13.515%	38.284	8.914%	0.02661	0.995
X046d7386.95c8.4501.9e55.c85bec272a7a..Panc.AdenoCA..DO34432	375	0.989	84.694	22.585%	16.374	14.912%	0.08544	0.987
X05070acd.3ec1.44bb.9c32.26d3a483a72a..Panc.AdenoCA..DO32860	540	0.997	90.487	16.757%	16.226	7.698%	0.07839	0.997
X0554ffe5.31f7.43f5.8372.2b73c9cf3527..Panc.AdenoCA..DO49076	559	0.998	75.917	13.581%	14.278	6.075%	0.04706	0.998
X079bcb09.a075.4313.9a3e.dd67734a8c5d..Panc.AdenoCA..DO221540	883	0.998	105.513	11.949%	19.124	5.735%	0.03079	0.998
X0972bfcf.c6c6.48cc.b820.cdfa6279a4f3..Panc.AdenoCA..DO51467	617	0.996	103.128	16.714%	16.818	9.36%	0.05039	0.995
X09cb8bc5.13ac.44ac.9b7d.6de143373570..Panc.AdenoCA..DO51524	711	0.996	122.24	17.193%	19.936	9.363%	0.05399	0.995
X09e1fe3e.bfd8.4175.ac42.0e1bf0ba5523..Panc.AdenoCA..DO51500	811	0.998	110.745	13.655%	19.643	6.441%	0.03898	0.998
X0b29c893.03bf.4131.b192.c14a2788d411..Panc.AdenoCA..DO49418	1438	0.998	159.468	11.09%	32.07	5.518%	0.03628	0.998
X0cf9bbc2.cbd5.4b64.8d90.cfa416307b39..Panc.AdenoCA..DO33488	644	0.992	135.573	21.052%	25.024	12.556%	0.08019	0.991
X0efee3f3.313b.44eb.b3b0.af975a1ded82..Panc.AdenoCA..DO49442	363	0.992	78.488	21.622%	14.181	12.922%	0.07685	0.991
X0fbd94b1.bb34.4620.841b.861a0b5e0c12..Panc.AdenoCA..DO49087	534	0.996	89.126	16.69%	15.551	9.273%	0.04946	0.996
X0fc63b79.7fff.441d.88fc.922d53c787ab..Panc.AdenoCA..DO51535	303	0.985	84.011	27.726%	15.262	17.975%	0.11225	0.983
X1168944c.5451.4a18.8758.88bf5723bdd9..Panc.AdenoCA..DO34680	1169	0.994	160.76	13.752%	33.216	11.168%	0.03782	0.992
X129459c1.38be.45da.bb87.18848c97c544..Panc.AdenoCA..DO51536	575	0.998	82.661	14.376%	13.202	6.604%	0.04402	0.998
X12f038e1.00af.4c64.a2e0.9e63323492ef..Panc.AdenoCA..DO33512	641	0.995	116.456	18.168%	20.12	10.185%	0.06225	0.994
X1327bbd4.a466.4e26.905f.cf91315f1cc8..Panc.AdenoCA..DO49422	387	0.996	74.251	19.186%	12.896	9.386%	0.08274	0.995
X1447c8cb.25d4.4092.8919.4df08f898d2d..Panc.AdenoCA..DO32984	630	0.994	105.541	16.753%	26.493	10.97%	0.05253	0.993
X170ad241.9e24.469b.b7ca.3fd783a89b21..Panc.AdenoCA..DO49430	766	0.998	100.471	13.116%	16.7	5.94%	0.0372	0.998
