Sample Names	Total Mutations	Cosine Similarity	L1 Norm	L1_Norm_%	L2 Norm	L2_Norm_%	KL Divergence	Correlation
X01b0848c.ae36.4ade.a3da.d297b003c99f..Panc.AdenoCA..DO51493	2349	0.988	465.494	19.817%	93.211	15.806%	0.06305	0.985
X02c97e2b.914e.4afc.bf50.78f0cfbfa67b..Panc.AdenoCA..DO35184	234	0.982	80.565	34.429%	13.976	19.483%	0.20029	0.98
X02e5c36f.5bec.45e2.a048.875653b85ca1..Panc.AdenoCA..DO34616	576	0.991	145.603	25.278%	27.255	13.864%	0.14898	0.99
X03c3c692.8a86.4843.85ae.e045f0fa6f88..Panc.AdenoCA..DO32831	1506	0.994	278.957	18.523%	48.56	11.307%	0.06284	0.993
X046d7386.95c8.4501.9e55.c85bec272a7a..Panc.AdenoCA..DO34432	375	0.989	93.611	24.963%	16.135	14.694%	0.12489	0.988
X05070acd.3ec1.44bb.9c32.26d3a483a72a..Panc.AdenoCA..DO32860	540	0.989	214.563	39.734%	53.993	25.614%	1.71227	0.989
X0554ffe5.31f7.43f5.8372.2b73c9cf3527..Panc.AdenoCA..DO49076	559	0.99	251.715	45.03%	71.313	30.34%	1000.0	0.991
X079bcb09.a075.4313.9a3e.dd67734a8c5d..Panc.AdenoCA..DO221540	883	0.997	143.537	16.256%	24.995	7.496%	0.06534	0.997
X0972bfcf.c6c6.48cc.b820.cdfa6279a4f3..Panc.AdenoCA..DO51467	617	0.993	135.449	21.953%	23.604	13.136%	0.11317	0.992
X09cb8bc5.13ac.44ac.9b7d.6de143373570..Panc.AdenoCA..DO51524	711	0.982	241.162	33.919%	48.876	22.954%	0.18846	0.98
X09e1fe3e.bfd8.4175.ac42.0e1bf0ba5523..Panc.AdenoCA..DO51500	811	0.991	339.962	41.919%	85.983	28.193%	0.99913	0.993
X0b29c893.03bf.4131.b192.c14a2788d411..Panc.AdenoCA..DO49418	1438	0.996	475.615	33.075%	108.879	18.734%	0.23697	0.996
X0cf9bbc2.cbd5.4b64.8d90.cfa416307b39..Panc.AdenoCA..DO33488	644	0.984	205.306	31.88%	37.121	18.626%	0.18356	0.982
X0efee3f3.313b.44eb.b3b0.af975a1ded82..Panc.AdenoCA..DO49442	363	0.98	128.069	35.281%	24.238	22.087%	0.23086	0.977
X0fbd94b1.bb34.4620.841b.861a0b5e0c12..Panc.AdenoCA..DO49087	534	0.991	125.93	23.582%	23.14	13.798%	0.14295	0.989
X0fc63b79.7fff.441d.88fc.922d53c787ab..Panc.AdenoCA..DO51535	303	0.983	96.451	31.832%	15.67	18.456%	0.16567	0.981
X1168944c.5451.4a18.8758.88bf5723bdd9..Panc.AdenoCA..DO34680	1169	0.985	288.753	24.701%	53.472	17.978%	0.08375	0.982
X129459c1.38be.45da.bb87.18848c97c544..Panc.AdenoCA..DO51536	575	0.997	89.788	15.615%	14.75	7.379%	0.06841	0.997
X12f038e1.00af.4c64.a2e0.9e63323492ef..Panc.AdenoCA..DO33512	641	0.991	163.483	25.504%	26.486	13.407%	0.14582	0.99
X1327bbd4.a466.4e26.905f.cf91315f1cc8..Panc.AdenoCA..DO49422	387	0.99	97.495	25.193%	19.428	14.14%	0.19254	0.989
X1447c8cb.25d4.4092.8919.4df08f898d2d..Panc.AdenoCA..DO32984	630	0.988	227.369	36.09%	64.335	26.64%	1.14898	0.988
X170ad241.9e24.469b.b7ca.3fd783a89b21..Panc.AdenoCA..DO49430	766	0.987	370.255	48.336%	88.259	31.394%	1.63454	0.988
X1776f326.b12f.4355.8107.80fa6fcd2159..Panc.AdenoCA..DO51513	309	0.975	101.112	32.722%	19.067	22.021%	0.21883	0.971
X183b04f5.107f.496c.8e9a.8263dd00cffa..Panc.AdenoCA..DO51491	1475	0.992	542.173	36.757%	149.214	26.607%	0.98524	0.993
X1a0ef226.41a5.4b56.9078.4b7834f0c976..Panc.AdenoCA..DO35376	502	0.99	138.075	27.505%	27.532	16.204%	0.1619	0.989
X1a841850.fca0.48ab.8c78.db0bd5a64435..Panc.AdenoCA..DO33344	1303	0.997	171.483	13.161%	36.424	7.25%	0.07801	0.997
X1ac54c6e.a1e4.4f3b.b4a5.cdb327e0dca6..Panc.AdenoCA..DO34817	542	0.997	85.742	15.82%	15.329	7.235%	0.07511	0.997
X1b0fe1d5.b286.4f49.ae92.94d9c6db9657..Panc.AdenoCA..DO35230	580	0.983	300.461	51.804%	84.388	42.242%	2.18186	0.986
X1c28e44a.6e6c.44ed.b58a.e3262c0e6759..Panc.AdenoCA..DO51544	455	0.989	117.388	25.8%	22.656	15.234%	0.16107	0.987
X1c9fbe26.1447.4335.aaab.06d6bb3e2741..Panc.AdenoCA..DO49078	321	0.985	88.805	27.665%	16.072	17.621%	0.16971	0.982
X1e181878.c640.4e91.a620.3fc4b08a4de1..Panc.AdenoCA..DO33008	865	0.979	261.527	30.234%	55.083	24.339%	0.11382	0.977
X1f81a1b0.8089.44ef.87b5.b3359a407ad2..Panc.AdenoCA..DO33128	209	0.953	86.038	41.167%	15.972	32.118%	0.25316	0.942
X20d1b88b.3ff6.4201.a748.6a993500c652..Panc.AdenoCA..DO32972	217	0.969	79.166	36.482%	16.041	24.643%	0.26041	0.964
X2102558b.87b0.447b.bb9a.e4ae9df8b75e..Panc.AdenoCA..DO33032	844	0.994	287.146	34.022%	66.096	18.838%	1.01334	0.994
X21b1a37f.e91e.4ce1.83cf.bb89b8d0fb35..Panc.AdenoCA..DO33028	403	0.985	123.0	30.521%	23.182	17.117%	0.17236	0.984
X228fb827.c05e.494c.8a21.e1d925e100cb..Panc.AdenoCA..DO51537	660	0.988	271.366	41.116%	69.658	27.903%	1.33579	0.989
X230f53ef.be3f.495e.9b95.b0f670bd6908..Panc.AdenoCA..DO51508	54	0.887	54.837	101.55%	14.738	95.532%	2.52877	0.89
X241abdfd.e6de.4830.a233.4bbc5f622725..Panc.AdenoCA..DO49138	860	0.994	171.58	19.951%	34.762	10.969%	0.13732	0.993
X2564a262.03e8.467b.9ea2.f3ab38d75ae1..Panc.AdenoCA..DO49457	1087	0.997	242.007	22.264%	55.522	12.063%	0.83836	0.997
X25c32aca.6738.43ef.a103.243f2f9a3b43..Panc.AdenoCA..DO51492	340	0.989	97.039	28.541%	18.388	15.656%	0.17263	0.987
X25cf7449.8c5b.403e.aa75.e2af158598e8..Panc.AdenoCA..DO33208	383	0.991	98.433	25.701%	18.2	13.982%	0.14209	0.989
X28f41a20.b6d6.4ecc.888f.72f779ad9af7..Panc.AdenoCA..DO49442	512	0.988	166.287	32.478%	32.291	19.538%	0.19065	0.987
