Sample Names	Total Mutations	Cosine Similarity	L1 Norm	L1_Norm_%	L2 Norm	L2_Norm_%	KL Divergence	Correlation
X01b0848c.ae36.4ade.a3da.d297b003c99f..Panc.AdenoCA..DO51493	2349	0.992	331.091	14.095%	77.218	13.094%	0.02275	0.99
X02c97e2b.914e.4afc.bf50.78f0cfbfa67b..Panc.AdenoCA..DO35184	234	0.99	57.401	24.53%	9.955	13.877%	0.09112	0.989
X02e5c36f.5bec.45e2.a048.875653b85ca1..Panc.AdenoCA..DO34616	576	0.995	115.826	20.109%	20.594	10.476%	0.06525	0.994
X03c3c692.8a86.4843.85ae.e045f0fa6f88..Panc.AdenoCA..DO32831	1506	0.996	205.098	13.619%	38.353	8.93%	0.02678	0.996
X046d7386.95c8.4501.9e55.c85bec272a7a..Panc.AdenoCA..DO34432	375	0.99	80.728	21.527%	15.322	13.954%	0.08252	0.989
X05070acd.3ec1.44bb.9c32.26d3a483a72a..Panc.AdenoCA..DO32860	540	0.997	95.228	17.635%	17.224	8.171%	0.08167	0.996
X0554ffe5.31f7.43f5.8372.2b73c9cf3527..Panc.AdenoCA..DO49076	559	0.998	74.494	13.326%	14.258	6.066%	0.04649	0.998
X079bcb09.a075.4313.9a3e.dd67734a8c5d..Panc.AdenoCA..DO221540	883	0.998	99.486	11.267%	18.879	5.662%	0.02876	0.998
X0972bfcf.c6c6.48cc.b820.cdfa6279a4f3..Panc.AdenoCA..DO51467	617	0.996	103.754	16.816%	17.174	9.558%	0.05081	0.995
X09cb8bc5.13ac.44ac.9b7d.6de143373570..Panc.AdenoCA..DO51524	711	0.995	121.741	17.123%	20.751	9.745%	0.04987	0.995
X09e1fe3e.bfd8.4175.ac42.0e1bf0ba5523..Panc.AdenoCA..DO51500	811	0.998	105.038	12.952%	18.917	6.203%	0.03816	0.998
X0b29c893.03bf.4131.b192.c14a2788d411..Panc.AdenoCA..DO49418	1438	0.998	169.738	11.804%	34.241	5.892%	0.03944	0.998
X0cf9bbc2.cbd5.4b64.8d90.cfa416307b39..Panc.AdenoCA..DO33488	644	0.992	131.52	20.422%	24.679	12.383%	0.07337	0.991
X0efee3f3.313b.44eb.b3b0.af975a1ded82..Panc.AdenoCA..DO49442	363	0.992	78.428	21.606%	14.167	12.91%	0.07416	0.991
X0fbd94b1.bb34.4620.841b.861a0b5e0c12..Panc.AdenoCA..DO49087	534	0.996	83.047	15.552%	14.962	8.921%	0.04837	0.996
X0fc63b79.7fff.441d.88fc.922d53c787ab..Panc.AdenoCA..DO51535	303	0.984	84.996	28.051%	15.747	18.546%	0.11484	0.982
X1168944c.5451.4a18.8758.88bf5723bdd9..Panc.AdenoCA..DO34680	1169	0.994	162.326	13.886%	32.036	10.771%	0.03734	0.993
X129459c1.38be.45da.bb87.18848c97c544..Panc.AdenoCA..DO51536	575	0.998	83.658	14.549%	13.507	6.757%	0.04674	0.997
X12f038e1.00af.4c64.a2e0.9e63323492ef..Panc.AdenoCA..DO33512	641	0.995	111.62	17.413%	19.819	10.033%	0.06182	0.994
X1327bbd4.a466.4e26.905f.cf91315f1cc8..Panc.AdenoCA..DO49422	387	0.996	74.988	19.377%	13.113	9.544%	0.08146	0.995
X1447c8cb.25d4.4092.8919.4df08f898d2d..Panc.AdenoCA..DO32984	630	0.994	103.514	16.431%	26.348	10.91%	0.04443	0.994
X170ad241.9e24.469b.b7ca.3fd783a89b21..Panc.AdenoCA..DO49430	766	0.998	99.669	13.012%	16.589	5.901%	0.03652	0.998
X1776f326.b12f.4355.8107.80fa6fcd2159..Panc.AdenoCA..DO51513	309	0.988	75.192	24.334%	14.009	16.179%	0.08767	0.986
X183b04f5.107f.496c.8e9a.8263dd00cffa..Panc.AdenoCA..DO51491	1475	0.998	160.169	10.859%	30.811	5.494%	0.02498	0.998
X1a0ef226.41a5.4b56.9078.4b7834f0c976..Panc.AdenoCA..DO35376	502	0.995	91.617	18.25%	17.929	10.552%	0.05333	0.994
X1a841850.fca0.48ab.8c78.db0bd5a64435..Panc.AdenoCA..DO33344	1303	0.999	105.843	8.123%	20.756	4.131%	0.02158	0.999
X1ac54c6e.a1e4.4f3b.b4a5.cdb327e0dca6..Panc.AdenoCA..DO34817	542	0.997	77.027	14.212%	15.418	7.277%	0.05717	0.997
X1b0fe1d5.b286.4f49.ae92.94d9c6db9657..Panc.AdenoCA..DO35230	580	0.995	117.613	20.278%	21.11	10.567%	0.07193	0.995
X1c28e44a.6e6c.44ed.b58a.e3262c0e6759..Panc.AdenoCA..DO51544	455	0.994	84.063	18.475%	15.714	10.566%	0.06991	0.994
X1c9fbe26.1447.4335.aaab.06d6bb3e2741..Panc.AdenoCA..DO49078	321	0.993	61.45	19.143%	11.063	12.129%	0.07397	0.991
X1e181878.c640.4e91.a620.3fc4b08a4de1..Panc.AdenoCA..DO33008	865	0.993	130.327	15.067%	26.034	11.504%	0.03617	0.992
X1f81a1b0.8089.44ef.87b5.b3359a407ad2..Panc.AdenoCA..DO33128	209	0.972	64.594	30.906%	11.891	23.911%	0.13251	0.965
X20d1b88b.3ff6.4201.a748.6a993500c652..Panc.AdenoCA..DO32972	217	0.974	74.745	34.445%	14.963	22.987%	0.15314	0.97
X2102558b.87b0.447b.bb9a.e4ae9df8b75e..Panc.AdenoCA..DO33032	844	0.997	123.856	14.675%	26.067	7.429%	0.0465	0.997
X21b1a37f.e91e.4ce1.83cf.bb89b8d0fb35..Panc.AdenoCA..DO33028	403	0.992	91.904	22.805%	18.104	13.368%	0.09946	0.991
X228fb827.c05e.494c.8a21.e1d925e100cb..Panc.AdenoCA..DO51537	660	0.997	101.668	15.404%	18.601	7.451%	0.05919	0.997
X230f53ef.be3f.495e.9b95.b0f670bd6908..Panc.AdenoCA..DO51508	54	0.947	30.765	56.972%	5.088	32.981%	0.47303	0.938
X241abdfd.e6de.4830.a233.4bbc5f622725..Panc.AdenoCA..DO49138	860	0.997	132.283	15.382%	24.966	7.878%	0.05453	0.997
X2564a262.03e8.467b.9ea2.f3ab38d75ae1..Panc.AdenoCA..DO49457	1087	0.999	111.696	10.276%	22.646	4.92%	0.03129	0.999
X25c32aca.6738.43ef.a103.243f2f9a3b43..Panc.AdenoCA..DO51492	340	0.994	81.086	23.849%	15.568	13.255%	0.09166	0.993
X25cf7449.8c5b.403e.aa75.e2af158598e8..Panc.AdenoCA..DO33208	383	0.994	78.04	20.376%	15.801	12.139%	0.0608	0.994
X28f41a20.b6d6.4ecc.888f.72f779ad9af7..Panc.AdenoCA..DO49442	512	0.995	101.521	19.828%	17.167	10.387%	0.06948	0.994
X29a00d78.b9bb.4c6b.b142.d5b8bfa63455..Panc.AdenoCA..DO35144	533	0.996	97.602	18.312%	19.159	9.547%	0.05435	0.995
X2b3837b3.ee29.4a08.848e.1206404da986..Panc.AdenoCA..DO49448	437	0.996	71.285	16.312%	12.205	8.51%	0.04971	0.996
X2b6d4d66.7f0b.4bc0.b3d6.171956a937c5..Panc.AdenoCA..DO49166	288	0.992	65.415	22.714%	11.662	13.022%	0.10471	0.99
X2bd9ccca.3fae.4b66.a762.6f30d6276222..Panc.AdenoCA..DO35152	797	0.998	97.141	12.188%	17.975	5.846%	0.04037	0.998
X2bf5b018.9f19.4fbd.9e1f.7d958aabe5d1..Panc.AdenoCA..DO51489	585	0.978	126.014	21.541%	24.807	20.843%	0.06026	0.969
X2c48eefe.2a08.47bf.8e4d.cbaab6777150..Panc.AdenoCA..DO35222	244	0.986	70.021	28.697%	13.871	17.066%	0.11921	0.984
X2e43e0ca.54ea.482e.acf2.0048d9187a5c..Panc.AdenoCA..DO35258	554	0.997	81.574	14.725%	14.786	7.678%	0.04476	0.997
X2fdfb06c.0d2f.4e1d.9756.bcb08a7f90af..Panc.AdenoCA..DO221546	397	0.987	92.948	23.413%	16.404	16.161%	0.08456	0.984
X31c75873.abb4.4d88.9e2f.07497a6c892d..Panc.AdenoCA..DO35082	920	0.995	139.244	15.135%	27.484	10.04%	0.03878	0.995
X32fa6457.c8bd.4d26.8106.925baf13df68..Panc.AdenoCA..DO51518	789	0.999	84.988	10.772%	13.344	4.262%	0.03569	0.999
X33061bf5.9b99.4735.a810.f2d5eeef6873..Panc.AdenoCA..DO33392	373	0.994	67.277	18.037%	13.06	10.649%	0.07623	0.994
X33070975.0f35.4518.9ffb.4c6170c32534..Panc.AdenoCA..DO33160	463	0.996	80.09	17.298%	14.284	9.283%	0.05711	0.995
X33bcd589.80db.4a58.8f83.a48cb60e0fda..Panc.AdenoCA..DO35148	163	0.953	57.766	35.439%	12.036	30.27%	0.19659	0.941
X368e592d.260c.4f58.81c4.a9f1e6177a4b..Panc.AdenoCA..DO51549	509	0.994	95.802	18.822%	16.538	10.909%	0.0551	0.993
X3933c60d.73d6.4f74.ae02.fd545fc1f092..Panc.AdenoCA..DO51541	521	0.991	95.056	18.245%	17.632	13.52%	0.0453	0.989
X39c6c3b3.4683.4d11.984c.ed589188da65..Panc.AdenoCA..DO51527	1223	0.998	145.241	11.876%	24.739	5.872%	0.03468	0.998
X39d38c06.3779.4ca4.b103.1d096f93dae8..Panc.AdenoCA..DO51532	486	0.993	98.196	20.205%	20.353	11.979%	0.05625	0.993
X3b526846.72d6.4e10.b7cd.8cdb45a92a1c..Panc.AdenoCA..DO34736	1375	0.994	213.514	15.528%	41.635	10.92%	0.0362	0.993
X3bfbc33d.804b.4bb3.97ac.97563d77b13d..Panc.AdenoCA..DO33376	574	0.991	122.222	21.293%	28.098	13.248%	0.06622	0.991
X3c86ba21.7b11.4ec7.9d20.a2325197c676..Panc.AdenoCA..DO33042	392	0.992	83.746	21.364%	14.754	12.753%	0.08243	0.991
X3e4d0e50.8cf4.4eb0.a00a.ccf0484ecc2f..Panc.AdenoCA..DO33984	373	0.991	84.973	22.781%	16.989	13.388%	0.09548	0.99
X3ed783cf.2248.44a1.a2a2.d6b6519b91ef..Panc.AdenoCA..DO51495	576	0.984	146.503	25.435%	26.296	18.269%	0.07716	0.981
X3fb8f017.576f.4901.b8bf.3a58e5d43de3..Panc.AdenoCA..DO35138	133	0.968	53.115	39.936%	10.428	25.079%	0.26055	0.964
X3fba4880.cb7b.4ac5.ab5f.728614faa1ea..Panc.AdenoCA..DO49466	795	0.998	100.115	12.593%	20.348	6.54%	0.03654	0.998
X40378b7a.a65d.4510.aaba.a34c4058fac7..Panc.AdenoCA..DO49424	739	0.999	77.807	10.529%	13.279	5.142%	0.03548	0.999
X42f00950.09c9.461a.8423.d5b04a96af10..Panc.AdenoCA..DO51472	445	0.996	78.241	17.582%	12.853	9.119%	0.05711	0.995
X441d2f21.b448.4fc8.8c54.9b85aca56237..Panc.AdenoCA..DO35126	604	0.998	93.694	15.512%	15.706	6.823%	0.06788	0.998
X4652ae03.b096.42d0.bdfa.3f6281d4f023..Panc.AdenoCA..DO35236	796	0.995	145.305	18.254%	27.049	10.423%	0.05513	0.994
X46e166fe.3b20.49ad.98db.42c854c61c93..Panc.AdenoCA..DO51470	453	0.995	86.57	19.11%	15.459	9.876%	0.07515	0.995
X4a4e0397.8702.46ef.aaa8.3980f03a40bf..Panc.AdenoCA..DO51521	18	0.669	19.149	106.383%	3.94	74.459%	1.10774	0.6
X4a88981e.e409.440f.9bf0.71ca1bab8b4e..Panc.AdenoCA..DO51534	592	0.998	78.36	13.236%	13.251	6.149%	0.03987	0.998
X4aa7eabc.0419.4897.b7af.5dcccfd6ac2f..Panc.AdenoCA..DO51476	1182	0.989	212.773	18.001%	45.107	15.084%	0.04078	0.987
X4c027164.12de.456f.b933.6bc91f70b46f..Panc.AdenoCA..DO49478	502	0.995	91.684	18.264%	16.836	10.723%	0.0598	0.994
X4c4aa1b1.fda3.4c5b.b588.68aa727500ad..Panc.AdenoCA..DO51543	709	0.998	88.861	12.533%	14.865	6.241%	0.0366	0.998
X4cbe411b.b05e.46bd.bea8.126289a0866c..Panc.AdenoCA..DO49090	654	0.998	86.108	13.166%	16.358	6.882%	0.03838	0.998
X4db9e471.0068.4ec6.9bcb.33ef5fdec33e..Panc.AdenoCA..DO32976	486	0.995	85.252	17.542%	16.488	9.878%	0.05638	0.995
X51458c86.0fdd.470e.b059.1ffbffc92a7f..Panc.AdenoCA..DO34288	405	0.992	89.554	22.112%	16.24	12.528%	0.081	0.991
X5187e77d.f412.4303.8049.11d1aa1a0235..Panc.AdenoCA..DO49419	1896	0.998	171.149	9.027%	35.155	6.994%	0.01384	0.997
X5255d645.d3d2.422e.8449.046cd21f4935..Panc.AdenoCA..DO34809	491	0.991	90.304	18.392%	18.495	13.37%	0.06881	0.989
X52f43b72.15ea.40a0.a3b4.4bf22bc0bf25..Panc.AdenoCA..DO49427	386	0.991	85.892	22.252%	16.549	13.23%	0.08579	0.99
X53534b3c.cd15.4d68.a9b1.6902bb234c45..Panc.AdenoCA..DO33552	2120	0.999	159.5	7.524%	33.322	5.402%	0.01323	0.998
X536dedba.46c4.4a21.b112.13c030b13069..Panc.AdenoCA..DO35442	7751	0.999	881.995	11.379%	282.314	5.56%	0.03148	0.999
X53e6a756.bdcc.4217.afe7.27d776159544..Panc.AdenoCA..DO35360	599	0.989	118.441	19.773%	20.623	15.08%	0.06406	0.985
X54195db3.94a9.4538.8bb8.9953d936acd4..Panc.AdenoCA..DO221544	1534	0.988	312.432	20.367%	66.631	16.784%	0.04918	0.986
X541f91bd.7e9d.4348.9e78.45b948d8967e..Panc.AdenoCA..DO34961	742	0.996	119.042	16.043%	21.466	8.548%	0.05494	0.996
X5650dc4e.8bce.4716.9199.cd5750d7a888..Panc.AdenoCA..DO35496	377	0.993	71.372	18.932%	13.031	12.237%	0.06014	0.991
X569ff1b4.de87.4309.8484.80549aaf9485..Panc.AdenoCA..DO35200	94	0.962	38.369	40.818%	6.786	27.431%	0.24055	0.953
X5b41e033.6df8.411e.a13b.59eeb8afbf9b..Panc.AdenoCA..DO33000	840	0.998	93.402	11.119%	17.263	5.698%	0.04166	0.998
X5d9ff58c.5702.48fc.a66a.d1276327fd49..Panc.AdenoCA..DO51520	1122	0.996	160.79	14.331%	32.728	9.44%	0.03609	0.995
X5f94cb62.4019.47ff.bf6a.eeda8e9e033c..Panc.AdenoCA..DO49129	527	0.995	96.956	18.398%	18.569	10.71%	0.06191	0.994
X60aff7a0.4960.4ed1.922b.3233ccbfdba1..Panc.AdenoCA..DO34336	426	0.998	52.975	12.435%	9.684	6.572%	0.04264	0.998
X60c33e32.7e19.4e71.b075.a63fcf27e660..Panc.AdenoCA..DO49454	466	0.996	84.404	18.112%	14.87	9.165%	0.06822	0.995
X60e78c80.41a5.456a.9a81.9007d18fd72c..Panc.AdenoCA..DO49137	637	0.997	90.246	14.167%	16.425	7.671%	0.04939	0.997
X6297aa77.37a0.4f46.987b.32bd8653c0c2..Panc.AdenoCA..DO51490	530	0.994	104.531	19.723%	19.731	10.778%	0.05919	0.994
X631ab9d0.5400.400c.b0bc.c3e576bcfe06..Panc.AdenoCA..DO49433	401	0.996	69.277	17.276%	11.754	8.513%	0.09125	0.996
X644c669b.937b.4adc.81b9.6a1811cba9da..Panc.AdenoCA..DO49484	479	0.998	62.562	13.061%	10.932	6.622%	0.03614	0.998
X654dba9f.cfe5.4121.97c7.868613cdef53..Panc.AdenoCA..DO33077	420	0.993	83.727	19.935%	14.556	12.188%	0.0593	0.991
X65d2dbc3.a163.4696.b246.47a430e66572..Panc.AdenoCA..DO51514	922	0.998	119.213	12.93%	20.822	5.702%	0.04857	0.998
X66290cc6.1f1f.4a0b.83d1.423952da4840..Panc.AdenoCA..DO49481	258	0.988	68.39	26.508%	12.369	15.788%	0.11821	0.986
X6867811f.ac89.47da.b5dc.1270033c36e7..Panc.AdenoCA..DO49454	503	0.996	88.582	17.611%	15.604	9.089%	0.06731	0.996
X68ba1105.569a.4209.9b45.0e2d64931806..Panc.AdenoCA..DO33152	713	0.997	110.923	15.557%	22.189	8.431%	0.04724	0.996
X6ad44218.d34e.4126.bf56.1be2140cd3fb..Panc.AdenoCA..DO51484	506	0.99	120.655	23.845%	25.624	14.157%	0.08478	0.989
X6b20f942.7b89.497c.8a2e.ccce74d20ca9..Panc.AdenoCA..DO49421	608	0.997	97.813	16.088%	17.589	8.22%	0.05322	0.996
X6bdf00f6.670f.466e.87fb.e853e41f000e..Panc.AdenoCA..DO34504	379	0.974	96.933	25.576%	19.891	22.875%	0.07127	0.966
X6fc0cb07.9713.4355.8543.f85d1c5505c2..Panc.AdenoCA..DO51529	1466	0.998	158.492	10.811%	33.821	5.969%	0.02348	0.998
X70dd8453.11d3.4105.a8d0.6a755c52495d..Panc.AdenoCA..DO51540	495	0.996	90.955	18.375%	15.607	9.592%	0.0669	0.995
X71ef8379.03a0.4b81.92c9.1ba666fe4d7a..Panc.AdenoCA..DO49127	433	0.995	86.564	19.992%	16.861	10.866%	0.06812	0.994
X7266ec7b.4824.4b88.910e.e9bfb848d55f..Panc.AdenoCA..DO35290	634	0.997	116.072	18.308%	21.044	8.593%	0.05424	0.997
X72a5e569.99d4.47bc.be1b.6296a5025080..Panc.AdenoCA..DO33264	850	0.994	135.768	15.973%	34.403	10.511%	0.05106	0.994
